Date,open page,not reopen,total time,bounce rate,% exit
1/4/2022,484,210,0:00:25,13.27%,23.35%
2/4/2022,398,166,0:00:26,14.74%,23.87%
3/4/2022,137,65,0:00:13,11.63%,31.39%
4/4/2022,819,332,0:00:24,8.15%,22.47%
5/4/2022,776,365,0:00:20,8.65%,37.24%
6/4/2022,536,246,0:00:26,18.60%,24.07%
7/4/2022,536,215,0:00:32,16.80%,23.32%
8/4/2022,327,154,0:01:00,18.64%,36.09%
9/4/2022,245,106,0:00:27,17.57%,30.20%
10/4/2022,207,90,0:00:44,20.69%,28.02%
11/4/2022,499,194,0:00:28,19.44%,21.64%
12/4/2022,323,148,0:00:26,18.56%,30.03%
13/4/2022,147,71,0:01:15,19.57%,31.29%
14/4/2022,206,81,0:00:30,29.09%,26.70%
15/4/2022,113,59,0:00:33,33.96%,46.90%
16/4/2022,214,84,0:00:34,14.29%,26.17%
17/4/2022,154,73,0:00:27,16.67%,38.96%
18/4/2022,677,290,0:00:33,13.10%,21.42%
19/4/2022,691,286,0:00:28,11.11%,20.84%
20/4/2022,566,241,0:00:37,11.19%,25.27%
21/4/2022,859,334,0:00:44,11.61%,18.04%
22/4/2022,813,281,0:00:27,17.46%,15.50%
23/4/2022,275,125,0:00:21,20.24%,30.55%
24/4/2022,131,58,0:00:43,23.40%,35.88%
25/4/2022,400,179,0:00:37,15.25%,29.50%
26/4/2022,459,200,0:00:29,10.24%,27.67%
27/4/2022,950,323,0:00:24,13.22%,12.74%
28/4/2022,630,256,0:00:40,11.72%,20.32%
29/4/2022,436,184,0:00:36,8.40%,27.29%
30/4/2022,232,110,0:00:42,8.86%,34.05%
