Date,number of pages opened,Number of unique pageviews,Average time on page,bounce rate,%quit
1/3/2022,604,253,0:00:24,21.08%,27.48%
2/3/2022,578,255,0:00:34,21.18%,29.41%
3/3/2022,888,315,0:00:43,14.65%,17.68%
4/3/2022,736,314,0:00:33,18.47%,21.33%
5/3/2022,248,114,0:00:28,7.89%,30.65%
6/3/2022,121,58,0:00:29,10.42%,39.67%
7/3/2022,779,359,0:00:29,22.84%,25.29%
8/3/2022,"1,048",441,0:00:25,9.46%,14.12%
9/3/2022,639,271,0:00:51,17.16%,26.45%
10/3/2022,634,269,0:00:38,11.54%,24.61%
11/3/2022,624,252,0:00:30,11.43%,22.44%
12/3/2022,270,122,0:00:39,13.19%,33.70%
13/3/2022,246,117,0:00:32,14.08%,28.86%
14/3/2022,730,304,0:00:33,10.44%,24.93%
15/3/2022,598,243,0:00:30,11.19%,23.91%
16/3/2022,517,230,0:00:28,10.08%,23.02%
17/3/2022,537,228,0:00:28,7.52%,24.77%
18/3/2022,547,238,0:00:31,9.56%,24.86%
19/3/2022,298,134,0:00:20,8.70%,30.87%
20/3/2022,196,81,0:00:29,14.06%,32.65%
21/3/2022,488,219,0:00:32,14.69%,29.30%
22/3/2022,508,221,0:00:49,12.06%,27.76%
23/3/2022,430,190,0:00:29,19.35%,28.84%
24/3/2022,540,221,0:00:26,13.79%,21.48%
25/3/2022,660,253,0:00:26,9.32%,17.88%
26/3/2022,294,133,0:00:34,12.64%,29.59%
27/3/2022,351,126,0:00:29,11.67%,17.09%
28/3/2022,412,185,0:00:34,15.32%,30.10%
29/3/2022,592,242,0:00:30,14.39%,22.30%
30/3/2022,647,256,0:00:29,15.20%,19.32%
31/3/2022,531,213,0:00:36,14.29%,19.77%
,,,,,
