Date,user,new user,session,session per user,number of pages opened,page/session,Average session duration,bounce rate
1/3/2022,152,131,166,1.09,604,3.64,0:01:03,21.08%
2/3/2022,155,132,170,1.1,578,3.4,0:01:22,21.18%
3/3/2022,139,120,157,1.13,888,5.66,0:03:22,14.65%
4/3/2022,144,125,157,1.09,736,4.69,0:02:02,18.47%
5/3/2022,69,59,76,1.1,248,3.26,0:01:03,7.89%
6/3/2022,47,45,48,1.02,121,2.52,0:00:44,10.42%
7/3/2022,176,160,197,1.12,779,3.95,0:01:25,22.84%
8/3/2022,134,105,148,1.1,"1,048",7.08,0:02:34,9.46%
9/3/2022,155,141,169,1.09,639,3.78,0:02:22,17.16%
10/3/2022,141,122,156,1.11,634,4.06,0:01:55,11.54%
11/3/2022,125,104,140,1.12,624,4.46,0:01:43,11.43%
12/3/2022,79,70,91,1.15,270,2.97,0:01:17,13.19%
13/3/2022,71,68,71,1,246,3.46,0:01:19,14.08%
14/3/2022,154,134,182,1.18,730,4.01,0:01:38,10.44%
15/3/2022,129,111,143,1.11,598,4.18,0:01:35,11.19%
16/3/2022,106,90,119,1.12,517,4.34,0:01:35,10.08%
17/3/2022,122,107,133,1.09,537,4.04,0:01:24,7.52%
18/3/2022,119,103,136,1.14,547,4.02,0:01:34,9.56%
19/3/2022,85,75,92,1.08,298,3.24,0:00:45,8.70%
20/3/2022,64,61,64,1,196,3.06,0:01:00,14.06%
21/3/2022,137,121,143,1.04,488,3.41,0:01:18,14.69%
22/3/2022,132,107,141,1.07,508,3.6,0:02:09,12.06%
23/3/2022,116,98,124,1.07,430,3.47,0:01:11,19.35%
24/3/2022,110,97,116,1.05,540,4.66,0:01:34,13.79%
25/3/2022,110,95,118,1.07,660,5.59,0:02:02,9.32%
26/3/2022,80,67,87,1.09,294,3.38,0:01:20,12.64%
27/3/2022,59,54,60,1.02,351,5.85,0:02:22,11.67%
28/3/2022,116,96,124,1.07,412,3.32,0:01:19,15.32%
29/3/2022,126,107,132,1.05,592,4.48,0:01:44,14.39%
30/3/2022,112,92,125,1.12,647,5.18,0:02:01,15.20%
31/3/2022,92,81,105,1.14,531,5.06,0:02:27,14.29%
