date,User,New user,Session,Session per user,page open,Session/page,Session total time,Bounce rate
1/4/2022,96,83,113,1.18,484,4.28,0:01:23,13.27%
2/4/2022,81,74,95,1.17,398,4.19,0:01:24,14.74%
3/4/2022,41,38,43,1.05,137,3.19,0:00:28,11.63%
4/4/2022,175,157,184,1.05,819,4.45,0:01:22,8.15%
5/4/2022,271,254,289,1.07,776,2.69,0:00:34,8.65%
6/4/2022,113,100,129,1.14,536,4.16,0:01:23,18.60%
7/4/2022,112,89,125,1.12,536,4.29,0:01:44,16.80%
8/4/2022,104,91,118,1.13,327,2.77,0:01:47,18.64%
9/4/2022,70,65,74,1.06,245,3.31,0:01:03,17.57%
10/4/2022,52,48,58,1.12,207,3.57,0:01:54,20.69%
11/4/2022,92,81,108,1.17,499,4.62,0:01:43,19.44%
12/4/2022,91,77,97,1.07,323,3.33,0:01:00,18.56%
13/4/2022,42,37,46,1.1,147,3.2,0:02:44,19.57%
14/4/2022,53,46,55,1.04,206,3.75,0:01:22,29.09%
15/4/2022,51,47,53,1.04,113,2.13,0:00:37,33.96%
16/4/2022,52,46,56,1.08,214,3.82,0:01:35,14.29%
17/4/2022,59,55,60,1.02,154,2.57,0:00:42,16.67%
18/4/2022,128,114,145,1.13,677,4.67,0:02:03,13.10%
19/4/2022,132,111,144,1.09,691,4.8,0:01:45,11.11%
20/4/2022,134,114,143,1.07,566,3.96,0:01:51,11.19%
21/4/2022,128,106,155,1.21,859,5.54,0:03:18,11.61%
22/4/2022,110,92,126,1.15,813,6.45,0:02:29,17.46%
23/4/2022,77,65,84,1.09,275,3.27,0:00:48,20.24%
24/4/2022,46,40,47,1.02,131,2.79,0:01:16,23.40%
25/4/2022,107,93,118,1.1,400,3.39,0:01:28,15.25%
26/4/2022,115,94,127,1.1,459,3.61,0:01:16,10.24%
27/4/2022,112,88,121,1.08,950,7.85,0:02:44,13.22%
28/4/2022,114,94,128,1.12,630,4.92,0:02:37,11.72%
29/4/2022,112,96,119,1.06,436,3.66,0:01:37,8.40%
30/4/2022,71,59,79,1.11,232,2.94,0:01:21,8.86%
